command;alias;description;keywords;category;url
azapim;;API Management services;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ApiManagement%2Fservice?
azasp;;App Service plans;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Web%2FserverFarms
azapps;azweb;App Services;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Web%2Fsites
azappgw;appgw|gateway;Application Gateway;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Network/LoadBalancingHubMenuBlade/~/applicationgateways
azappinsights;appinsights;Application Insights;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/microsoft.insights%2Fcomponents
azautomanage;azam;Automanage;;Azure;https://portal.azure.com/#view/Microsoft_Azure_AutoManagedVirtualMachines/AutomanageMenuBlade
azvmas;;Availability Sets;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FavailabilitySets?
az;azure;Azure;;Azure;https://portal.azure.com
azcreate;;Azure - Create a Resource;;Azure;https://portal.azure.com/#create/hub?
azadvisor;;Azure Advisor;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Expert/AdvisorMenuBlade/~/score?
azauto;azautomation;Azure Automation;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Automation%2FAutomationAccounts
azredis;;Azure Cache for Redis;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Cache%2FRedis
azshell;shell;Azure Cloud Shell;;Azure;https://portal.azure.com/#cloudshell/
azcs;;Azure Content Safety;;Azure;https://contentsafety.cognitive.azure.com/
azcosmos;;Azure Cosmos DB;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DocumentDb%2FdatabaseAccounts
adf;;Azure Data Factory;;Azure;https://adf.azure.com/
azdatabricks;;Azure Databricks;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Databricks%2Fworkspaces?
dev;devops;Azure DevOps Portal;;Azure;https://dev.azure.com
azfwmg;;Azure Firewall Manager;;Azure;https://portal.azure.com/#view/Microsoft_Azure_HybridNetworking/FirewallManagerMenuBlade
azfdcdn;;Azure Front Door and CDN profiles;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/microsoft.cdn%2Fprofiles?
azlogic;;Azure Logic Apps;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Logic%2Fworkflows
azml;;Azure Machine Learning Studio;;Azure;https://ml.azure.com/
azmi;;Azure Managed Identities;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ManagedIdentity%2FuserAssignedIdentities?
azmg;;Azure Management Groups;;Azure;https://portal.azure.com/#view/Microsoft_Azure_ManagementGroups/ManagementGroupBrowseBlade?
azoai;openai;Azure OpenAI Studio;;Azure;https://oai.azure.com/portal
azpolicy;;Azure Policy;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Policy/PolicyMenuBlade/~/overview
azp;azurepreview;Azure Preview Portal;;Azure;https://preview.portal.azure.com/
azprice;price;Azure Price Calculator;;Azure;https://azure.microsoft.com/pricing/calculator/
arg;arge;Azure Resource Graph Explorer;;Azure;https://portal.azure.com/#view/HubsExtension/ArgQueryBlade?
azpim;;Azure Resources PIM;;Azure;https://portal.azure.com/#view/Microsoft_Azure_PIMCommon/CommonMenuBlade/~/azurerbac
azhealth;;Azure Service Health;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Health/ServiceIssuesBlade?
azsynapse;;Azure Synapse Analytics;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Synapse%2Fworkspaces?
synapse;;Azure Synapse Studio;;Azure;https://web.azuresynapse.net/
azumc;;Azure Update Management Center;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Automation/UpdateCenterMenuBlade/~/overview?
azavd;avd;Azure Virtual Desktop;;Azure;https://portal.azure.com/#view/Microsoft_Azure_WVD/WvdManagerMenuBlade/~/overview
azwb;;Azure Workbooks;;Azure;https://portal.azure.com/?feature.msaljs=true#view/HubsExtension/BrowseResource/resourceType/microsoft.insights%2Fworkbooks
azbackup;;Backup Center;;Azure;https://portal.azure.com/#view/Microsoft_Azure_DataProtection/BackupCenterMenuBlade/~/overview
azcontainer;;Container Instances;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerInstance%2FcontainerGroups
azacr;;Container Registries;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerRegistry%2Fregistries
cosmos;;CosmosDB Explorer;;Azure;https://cosmos.azure.com
azcost;;Cost Management + Billing;;Azure;https://portal.azure.com/#view/Microsoft_Azure_GTM/ModernBillingMenuBlade/~/BillingAccounts
azdcr;;Data Collection Rules;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Insights%2FdataCollectionRules
azkusto;adx;Data Explorer;;Azure;https://dataexplorer.azure.com/
azadf;;Data factories;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DataFactory%2FdataFactories
azpgfs;;DB for PostgreSQL flexible servers;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2FflexibleServers?
azpgh;;DB for PostgreSQL Hyperscale (Citus);;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2FserverGroupsv2?
azpg;;DB for PostgreSQL servers;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.DBforPostgreSQL%2Fservers?
azdisks;;Disks;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2Fdisks
azfn;;Function App;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Web%2Fsites/kind/functionapp
azhelp;;Help + support;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Support/HelpAndSupportBlade/~/overview
azkv;kv;Key Vault;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.KeyVault%2Fvaults
azaks;;Kubernetes services;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ContainerService%2FmanagedClusters
azlb;lb;Load balancing;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Network/LoadBalancingHubMenuBlade/~/overview
azloganalytics;la;Log Analytics;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.OperationalInsights%2Fworkspaces
azdefender;;Microsoft Defender for Cloud;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Security/SecurityMenuBlade/~/0
azmonitor;;Monitor;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Monitoring/AzureMonitoringBrowseBlade/~/overview
aznsg;;Network security groups;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FNetworkSecurityGroups
aznwatch;netwatch;Network Watcher;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Network/NetworkWatcherMenuBlade/~/overview?
azpgaa;;PostgreSQL servers - Azure Arc;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.AzureArcData%2FpostgresInstances?
azpip;;Public IP Addresses;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FPublicIpAddresses
puudg;purviewudg|purview;Purview Unified Data Governance;Azure Purview portal;Azure;https://web.purview.azure.com
avdweb;;Remote Desktop Web Client;;Azure;https://client.wvd.microsoft.com/arm/webclient/index.html
azrg;;Resource groups;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResourceGroups?
azroutes;;Route tables;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FrouteTables
azvmss;;Scale Sets;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResourceBlade/resourceType/Microsoft.Compute%2FvirtualMachineScaleSets?
azsentinel;sentinel;Sentinel;;Azure;https://portal.azure.com/#blade/Microsoft_Azure_Security_Insights/WorkspaceSelectorBlade?
azhybridcompute;;Servers - Azure Arc;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.HybridCompute%2Fmachines
azservicebus;bus;Service Bus;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.ServiceBus%2Fnamespaces
azsd;;Shared dashboards;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Portal%2Fdashboards?
azsqldb;;SQL databases;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2Fservers%2Fdatabases
azsqlep;;SQL elastic pools;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2Fservers%2Felasticpools
azsqlmi;sqlmi;SQL managed instance;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2FmanagedInstances
azsql;;SQL servers;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Sql%2Fservers
azssh;;SSH Keys;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FsshPublicKeys
azsa;storage;Storage accounts;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Storage%2FStorageAccounts
azsubs;;Subscriptions;;Azure;https://portal.azure.com/#view/Microsoft_Azure_Billing/SubscriptionsBlade?
aztemp;;Templates;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResourceBlade/resourceType/Microsoft.Gallery%2Fmyareas%2Fgalleryitems?
print;upc;Universal Print Console;Azure;Azure;https://portal.azure.com/#view/Universal_Print/MainMenuBlade/~/Printers?#blade/Microsoft_Azure_Security_Insights/WorkspaceSelectorBlade?
azvm;;Virtual machines;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Compute%2FVirtualMachines
azvn;vnet;Virtual networks;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FvirtualNetworks
azwaf;waf;Web Application Firewall policies;;Azure;https://portal.azure.com/#view/HubsExtension/BrowseResource/resourceType/Microsoft.Network%2FFrontDoorWebApplicationFirewallPolicies
deactions;;Action centre;;Defender;https://security.microsoft.com/action-center
decacat;;Cloud app catalog;;Defender;https://security.microsoft.com/cloudapps/app-catalog
detallow;;Defender Tenant Allow/Block List;;Defender;https://security.microsoft.com/tenantAllowBlockList
dedevices;;Device Inventory;;Defender;https://security.microsoft.com/machines
deexplorer;;Explorer;;Defender;https://security.microsoft.com/threatexplorer
dehunting;dehunt;Hunting;;Defender;https://security.microsoft.com/v2/advanced-hunting
deusers;deidentities;Identities;;Defender;https://security.microsoft.com/cloudapps/users-and-accounts
deincidents;deinc;Incidents;;Defender;https://security.microsoft.com/incidents
deinvestigations;;Investigations;;Defender;https://security.microsoft.com/airinvestigation
decaoauth;;Manage OAuth apps;;Defender;https://security.microsoft.com/cloudapps/oauth-apps
defender;def|security;Microsoft 365 Defender;;Defender;https://security.microsoft.com
deca;;Microsoft Defender for Cloud Apps;;Defender;https://portal.cloudappsecurity.com/
dess;;Microsoft Secure Score;;Defender;https://security.microsoft.com/securescore
deqre;deq;Quarantined Emails;;Defender;https://security.microsoft.com/quarantine
dere;;Restricted entities;;Defender;https://security.microsoft.com/restrictedentities
deti;;Threat Intelligence;;Defender;https://ti.defender.microsoft.com
;;Additional Security Information;;Enduser;https://account.activedirectory.windowsazure.com
;;App Passwords;;Enduser;https://account.activedirectory.windowsazure.com/AppPasswords.aspx
;;Bing Image Creator;;Enduser;https://www.bing.com/create
;;Bookings;;Enduser;https://outlook.office.com/bookings
;;Calendar;;Enduser;https://outlook.office.com/calendar
;;Change Password;;Enduser;https://account.activedirectory.windowsazure.com/ChangePassword.aspx
;;Cloud Voicemail;;Enduser;https://admin1a.online.lync.com/lscp/usp/voicemail/
;;Compliance;;Enduser;https://compliance.microsoft.com
;;Converged MFA & SSPR Portal;;Enduser;https://aka.ms/mysecurityinfo/
;;Copilot For Microsoft 365;;Enduser;https://www.microsoft365.com/chat/
;;Copilot Lab;;Enduser;https://copilot.cloud.microsoft/
;;Cortana;;Enduser;https://cortana.office.com
;;Customer Voice;;Enduser;https://customervoice.microsoft.com/
;;Delve;;Enduser;https://delve.office.com
;;Device Login - Microsoft account or MSA (Personal Account);;Enduser;https://microsoft.com/link
;;Device Login - Work or School Account;;Enduser;https://microsoft.com/devicelogin
;;Excel;;Enduser;https://www.office.com/launch/excel
;;Exchange Control Panel (Personal);;Enduser;https://outlook.office.com/ecp/
;;Fabric;;Enduser;https://fabric.microsoft.com
;;Forms;;Enduser;https://www.office.com/launch/forms
;;Kaizala Web;;Enduser;https://web.kaiza.la
;;Loop;;Enduser;https://loop.cloud.microsoft
;;Mesh;;Enduser;https://mesh.cloud.microsoft
;;MFA Setup;;Enduser;https://account.activedirectory.windowsazure.com/proofup.aspx
;;Microsoft AppSource;;Enduser;https://store.office.com/redirect.aspx
;;Microsoft Azure Information Protection - Track Documents;;Enduser;https://track.azurerms.com/
;;Microsoft Copilot;;Enduser;https://www.bing.com/chat
;;Microsoft Copilot;;Enduser;https://copilot.microsoft.com/
;;Microsoft Create - Free Templates;;Enduser;https://create.microsoft.com/
;;Microsoft Designer;;Enduser;https://designer.microsoft.com/
;;Microsoft Family Safety;;Enduser;https://account.microsoft.com/family/
;;Microsoft Intune Web Company Portal;;Enduser;https://portal.manage.microsoft.com/
;;My Access;;Enduser;https://myaccess.microsoft.com
;;My Account;;Enduser;https://account.microsoft.com
;;My Account;;Enduser;https://myaccount.microsoft.com
;;My Apps;;Enduser;https://account.activedirectory.windowsazure.com
;;My Groups;;Enduser;https://account.activedirectory.windowsazure.com/r#/groups
;;My Sign-Ins;;Enduser;https://mysignins.microsoft.com
;;My Staff;;Enduser;https://mystaff.microsoft.com/
;;Office 365 Apps;;Enduser;https://www.office.com/apps
;;Office 365 Security & Compliance - Quarantined;;Enduser;https://security.microsoft.com/quarantine
;;OneDrive;;Enduser;https://portal.office.com/onedrive
;;OneNote;;Enduser;https://www.office.com/launch/onenote
;;Outlook;;Enduser;https://outlook.office.com
;;People;;Enduser;https://outlook.office.com/people
;;Planner;;Enduser;https://tasks.office.com
;;Power Apps;;Enduser;https://make.powerapps.com
;;Power Automate;;Enduser;https://make.powerautomate.com/
;;Power BI;;Enduser;https://app.powerbi.com
;;Power Pages;;Enduser;https://make.powerpages.microsoft.com
;;PowerPoint;;Enduser;https://www.office.com/launch/powerpoint
;;Project;;Enduser;https://project.microsoft.com
;;Security;;Enduser;https://security.microsoft.com
;;Self Service Password Reset / Forgot Password;;Enduser;https://passwordreset.microsoftonline.com
;;Self Service Password Reset Setup;;Enduser;https://account.activedirectory.windowsazure.com/PasswordReset/Register.aspx?regref=ssprsetup
;;SharePoint;;Enduser;https://login.microsoftonline.com/login.srf?wa=wsignin1.0&wreply=https://www.office.com/launch/sharepoint%3F&LoginOptions=1
;;Stream;;Enduser;https://web.microsoftstream.com
;;Sway;;Enduser;https://sway.cloud.microsoft
;;Teams;;Enduser;https://teams.microsoft.com/v2/
;;To-Do;;Enduser;https://to-do.office.com
;;Visio;;Enduser;https://www.office.com/launch/visio
;;Viva Engage;;Enduser;https://engage.cloud.microsoft
;;Viva Goals;;Enduser;https://goals.cloud.microsoft
;;Viva Home;;Enduser;https://viva.cloud.microsoft
;;Viva Insights;;Enduser;https://insights.cloud.microsoft
;;Viva Learning;;Enduser;https://learning.cloud.microsoft
;;Viva Pulse;;Enduser;https://pulse.cloud.microsoft
;;Viva Skills;;Enduser;https://skills.cloud.microsoft
;;Whiteboard;;Enduser;https://whiteboard.microsoft.com
;;Windows 365;;Enduser;https://windows365.microsoft.com
;;Windows Virtual Desktop Web Client (ARM);;Enduser;https://rdweb.wvd.microsoft.com/arm/webclient
;;Windows Virtual Desktop Web Client (Old) ;;Enduser;https://rdweb.wvd.microsoft.com/webclient
;;Word;;Enduser;https://www.office.com/launch/word
;;Yammer;;Enduser;https://www.yammer.com
ensynclog;adsynclog;AAD Connect - Sync errors;aadconnect;Entra;https://entra.microsoft.com/#view/Microsoft_Azure_ADHybridHealth/AadHealthMenuBlade/~/SyncErros/Microsoft_Azure_ADHybridHealth/AadHealthMenuBlade
enar;adreviews|adar;Access reviews;;Entra;https://entra.microsoft.com/#view/Microsoft_AAD_ERM/DashboardBlade/~/Controls
enadfslog;adadfslog;ADFS services;;Entra;https://entra.microsoft.com/#view/Microsoft_Azure_ADHybridHealth/AadHealthMenuBlade/~/AdfsServicesList
enappreg;adappreg;App registrations;;Entra;https://entra.microsoft.com/#view/Microsoft_AAD_RegisteredApps/ApplicationsListBlade/quickStartType~/null/sourceType/Microsoft_AAD_IAM
enac;adac;Authentication context;;Entra;https://entra.microsoft.com/#view/Microsoft_AAD_ConditionalAccess/ConditionalAccessBlade/~/AuthenticationContext
